F. Emision,Descripción,category,subcategory,volume,weight,fragance,other,Stock Actual,P. Unitario
01/11/2023,ACEITE PARA MASAJES 34 ML ARMONÍA,SKIN CARE,ACEITES PARA MASAJES,34 ML,,ARMONÍA,,3,22.9
01/11/2023,ACEITE PARA MASAJES 240 ML ARMONÍA,SKIN CARE,ACEITES PARA MASAJES,240 ML,,ARMONÍA,,2,69.9
15/11/2023,ACEITE PARA MASAJES 34 ML ENERGÍA,SKIN CARE,ACEITES PARA MASAJES,34 ML,,ENERGÍA,,3,22.9
01/11/2023,ACEITE PARA MASAJES 240 ML ENERGÍA,SKIN CARE,ACEITES PARA MASAJES,240 ML,,ENERGÍA,,4,69.9
01/11/2023,ACEITE PARA MASAJES 34 ML FELICIDAD,SKIN CARE,ACEITES PARA MASAJES,34 ML,,FELICIDAD,,1,22.9
01/11/2023,ACEITE PARA MASAJES 240 ML FELICIDAD,SKIN CARE,ACEITES PARA MASAJES,240 ML,,FELICIDAD,,0,69.9
01/11/2023,ACEITE PARA MASAJES 34 ML SERENIDAD,SKIN CARE,ACEITES PARA MASAJES,34 ML,,SERENIDAD,,3,19.47
01/11/2023,ACEITE PARA MASAJES 240 ML SERENIDAD,SKIN CARE,ACEITES PARA MASAJES,240 ML,,SERENIDAD,,2,59.42
03/11/2023,ACEITE PARA MASAJES 34 ML TRANQ.,SKIN CARE,ACEITES PARA MASAJES,34 ML,,TRANQUILIDAD,,2,22.9
01/11/2023,ACEITE PARA MASAJES 240 ML TRANQ.,SKIN CARE,ACEITES PARA MASAJES,240 ML,,TRANQUILIDAD,,1,69.9
01/11/2023,BURBUJAS DE BAÑO 173 ML AMOR,SKIN CARE,BURBUJAS,173 ML,,AMOR,,4,29.9
01/11/2023,BURBUJAS DE BAÑO 520 ML AMOR,SKIN CARE,BURBUJAS,520 ML,,AMOR,,2,59.9
01/11/2023,BURBUJAS DE BAÑO 173 ML ARMONÍA,SKIN CARE,BURBUJAS,173 ML,,ARMONÍA,,0,29.9
01/11/2023,BURBUJAS DE BAÑO 520 ML ARMONÍA,SKIN CARE,BURBUJAS,520 ML,,ARMONÍA,,1,59.9
09/11/2023,BURBUJAS DE BAÑO 173 ML ENERGÍA,SKIN CARE,BURBUJAS,173 ML,,ENERGÍA,,3,29.9
01/11/2023,BURBUJAS DE BAÑO 520 ML ENERGÍA,SKIN CARE,BURBUJAS,520 ML,,ENERGÍA,,5,59.9
01/11/2023,BURBUJAS DE BAÑO 173 ML FELICIDAD,SKIN CARE,BURBUJAS,173 ML,,FELICIDAD,,3,29.9
01/11/2023,BURBUJAS DE BAÑO 520 ML FELICIDAD,SKIN CARE,BURBUJAS,520 ML,,FELICIDAD,,3,59.9
17/02/2024,BURBUJAS DE BAÑO 34 ML SERENIDAD,SKIN CARE,BURBUJAS,34 ML,,SERENIDAD,,0,19.02
09/11/2023,BURBUJAS DE BAÑO 173 ML SERENIDAD,SKIN CARE,BURBUJAS,173 ML,,SERENIDAD,,3,25.42
01/11/2023,BURBUJAS DE BAÑO 520 ML SERENIDAD,SKIN CARE,BURBUJAS,520 ML,,SERENIDAD,,3,50.92
01/11/2023,BURBUJAS DE BAÑO 173 ML TRANQ.,SKIN CARE,BURBUJAS,173 ML,,TRANQUILIDAD,,3,29.9
01/11/2023,BURBUJAS DE BAÑO 520 ML TRANQ.,SKIN CARE,BURBUJAS,520 ML,,TRANQUILIDAD,,3,59.9
01/11/2023,COLONIA 10 ML AMOR,COLONIAS Y PERFUMES,COLONIAS,10 ML,,AMOR,,2,19
01/11/2023,COLONIA 180 ML AMOR,COLONIAS Y PERFUMES,COLONIAS,180 ML,,AMOR,,10,55
01/11/2023,COLONIA 10 ML ARMONÍA,COLONIAS Y PERFUMES,COLONIAS,10 ML,,ARMONÍA,,7,19
15/11/2023,COLONIA 180 ML ARMONÍA,COLONIAS Y PERFUMES,COLONIAS,180 ML,,ARMONÍA,,14,45
01/11/2023,COLONIA 10 ML ENERGÍA,COLONIAS Y PERFUMES,COLONIAS,10 ML,,ENERGÍA,,4,19
01/11/2023,COLONIA 180 ML ENERGÍA,COLONIAS Y PERFUMES,COLONIAS,180 ML,,ENERGÍA,,14,55
01/11/2023,COLONIA 10 ML FELICIDAD,COLONIAS Y PERFUMES,COLONIAS,10 ML,,FELICIDAD,,0,19
01/11/2023,COLONIA 180 ML FELICIDAD,COLONIAS Y PERFUMES,COLONIAS,180 ML,,FELICIDAD,,11,55
01/11/2023,COLONIA 10 ML SERENIDAD,COLONIAS Y PERFUMES,COLONIAS,10 ML,,SERENIDAD,,2,16.15
01/11/2023,COLONIA 180 ML SERENIDAD,COLONIAS Y PERFUMES,COLONIAS,180 ML,,SERENIDAD,,17,46.75
01/11/2023,COLONIA 10 ML TRANQ.,COLONIAS Y PERFUMES,COLONIAS,10 ML,,TRANQUILIDAD,,3,19
01/11/2023,COLONIA 180 ML TRANQ.,COLONIAS Y PERFUMES,COLONIAS,180 ML,,TRANQUILIDAD,,13,55
01/11/2023,CREMA HUMECTANTE 30 ML AMOR,SKIN CARE,CREMAS,30 ML,,AMOR,,5,22.9
01/11/2023,CREMA HUMECTANTE 190 GR AMOR,SKIN CARE,CREMAS,,190 GR,AMOR,,5,99.9
01/11/2023,CREMA HUMECTANTE 30 ML ARMONÍA,SKIN CARE,CREMAS,30 ML,,ARMONÍA,,6,22.9
01/11/2023,CREMA HUMECTANTE 190 GR ARMONÍA,SKIN CARE,CREMAS,,190 GR,ARMONÍA,,4,99.9
09/11/2023,CREMA HUMECTANTE 30 ML ENERGÍA,SKIN CARE,CREMAS,30 ML,,ENERGÍA,,5,22.9
01/11/2023,CREMA HUMECTANTE 190 GR ENERGÍA,SKIN CARE,CREMAS,,190 GR,ENERGÍA,,6,99.9
01/11/2023,CREMA HUMECTANTE 30 ML FELICIDAD,SKIN CARE,CREMAS,30 ML,,FELICIDAD,,0,22.9
01/11/2023,CREMA HUMECTANTE 190 GR FELICIDAD,SKIN CARE,CREMAS,,190 GR,FELICIDAD,,3,99.9
02/11/2023,CREMA HUMECTANTE 30 ML SERENIDAD,SKIN CARE,CREMAS,30 ML,,SERENIDAD,,3,19.47
01/11/2023,CREMA HUMECTANTE 190 GR SERENIDAD,SKIN CARE,CREMAS,,190 GR,SERENIDAD,,3,84.92
01/11/2023,CREMA HUMECTANTE 30 ML TRANQ.,SKIN CARE,CREMAS,30 ML,,TRANQUILIDAD,,1,22.9
01/11/2023,CREMA HUMECTANTE 190 GR TRANQ.,SKIN CARE,CREMAS,,190 GR,TRANQUILIDAD,,4,99.9
01/11/2023,REPELENTE 60 ML -,SKIN CARE,,60 ML,,,,1,49.9
01/11/2023,ESPUMA EXFOLIANTE 400 GR COCO,SKIN CARE,JABONES,,400 GR,COCO,,1,49.9
01/11/2023,ESPUMA EXFOLIANTE 400 GR HIERBA LUISA,SKIN CARE,JABONES,,400 GR,HIERBA LUISA,,0,49.9
01/11/2023,ESPUMA EXFOLIANTE 400 GR LIMON,SKIN CARE,JABONES,,400 GR,LIMON,,1,49.9
01/11/2023,ESPUMA EXFOLIANTE 400 GR ROSAS,SKIN CARE,JABONES,,400 GR,ROSAS,,1,49.9
01/11/2023,ESPUMA EXFOLIANTE 400 GR TE VERDE,SKIN CARE,JABONES,,400 GR,TE VERDE,,1,49.9
01/11/2023,ESPUMA EXFOLIANTE 400 GR UVA,SKIN CARE,JABONES,,400 GR,UVA,,1,49.9
01/11/2023,EXFOLIANTE JABONOSO 220 ML AMOR,SKIN CARE,EXFOLIANTES,220 ML,,AMOR,,3,75
01/11/2023,EXFOLIANTE JABONOSO 220 ML ARMONÍA,SKIN CARE,EXFOLIANTES,220 ML,,ARMONÍA,,4,75
01/11/2023,EXFOLIANTE JABONOSO 34 ML BAMBOO,SKIN CARE,EXFOLIANTES,34 ML,,BAMBOO,,0,18.9
01/11/2023,EXFOLIANTE JABONOSO 120 ML BAMBOO,SKIN CARE,EXFOLIANTES,120 ML,,BAMBOO,,3,44.9
15/11/2023,EXFOLIANTE JABONOSO 34 ML DURAZNO MANZANA,SKIN CARE,EXFOLIANTES,34 ML,,DURAZNO MANZANA,,1,18.9
01/11/2023,EXFOLIANTE JABONOSO 120 ML DURAZNO MANZANA,SKIN CARE,EXFOLIANTES,120 ML,,DURAZNO MANZANA,,2,44.9
01/11/2023,EXFOLIANTE JABONOSO 220 ML ENERGÍA,SKIN CARE,EXFOLIANTES,220 ML,,ENERGÍA,,4,75
01/11/2023,EXFOLIANTE JABONOSO 220 ML FELICIDAD,SKIN CARE,EXFOLIANTES,220 ML,,FELICIDAD,,4,75
01/11/2023,EXFOLIANTE JABONOSO 34 ML HIERBA LUISA,SKIN CARE,EXFOLIANTES,34 ML,,HIERBA LUISA,,1,18.9
01/11/2023,EXFOLIANTE JABONOSO 120 ML HIERBA LUISA,SKIN CARE,EXFOLIANTES,120 ML,,HIERBA LUISA,,3,44.9
15/11/2023,EXFOLIANTE JABONOSO 34 ML MARACUYA,SKIN CARE,EXFOLIANTES,34 ML,,MARACUYA,,1,18.9
01/11/2023,EXFOLIANTE JABONOSO 120 ML MARACUYA,SKIN CARE,EXFOLIANTES,120 ML,,MARACUYA,,2,44.9
01/11/2023,EXFOLIANTE JABONOSO 120 ML ORQUIDEA BLANCA,SKIN CARE,EXFOLIANTES,120 ML,,ORQUIDEA BLANCA,,3,44.9
01/11/2023,EXFOLIANTE JABONOSO 220 ML SERENIDAD,SKIN CARE,EXFOLIANTES,220 ML,,SERENIDAD,,2,63.75
01/11/2023,EXFOLIANTE JABONOSO 220 ML TRANQ.,SKIN CARE,EXFOLIANTES,220 ML,,TRANQUILIDAD,,0,75
01/11/2023,EXFOLIANTE OLEOSO 200 GR AMOR,SKIN CARE,EXFOLIANTES OLEOSOS,,200 GR,AMOR,,2,99.9
01/11/2023,EXFOLIANTE OLEOSO 200 GR ARMONÍA,SKIN CARE,EXFOLIANTES OLEOSOS,,200 GR,ARMONÍA,,2,99.9
01/11/2023,EXFOLIANTE OLEOSO 200 GR ENERGÍA,SKIN CARE,EXFOLIANTES OLEOSOS,,200 GR,ENERGÍA,,2,99.9
01/11/2023,EXFOLIANTE OLEOSO 200 GR FELICIDAD,SKIN CARE,EXFOLIANTES OLEOSOS,,200 GR,FELICIDAD,,2,99.9
01/11/2023,EXFOLIANTE OLEOSO 200 GR SERENIDAD,SKIN CARE,EXFOLIANTES OLEOSOS,,200 GR,SERENIDAD,,1,84.92
01/11/2023,EXFOLIANTE OLEOSO 200 GR TRANQ.,SKIN CARE,EXFOLIANTES OLEOSOS,,200 GR,TRANQUILIDAD,,2,99.9
01/11/2023,GEL ANTIBACTERIAL 35 ML AMOR,SKIN CARE,,35 ML,,AMOR,,0,8.9
01/11/2023,GEL ANTIBACTERIAL 35 ML ARMONÍA,SKIN CARE,,35 ML,,ARMONÍA,,0,8.9
03/11/2023,GEL ANTIBACTERIAL 35 ML ENERGÍA,SKIN CARE,,35 ML,,ENERGÍA,,0,8.9
01/11/2023,GEL ANTIBACTERIAL 35 ML FELICIDAD,SKIN CARE,,35 ML,,FELICIDAD,,0,8.9
01/11/2023,GEL ANTIBACTERIAL 35 ML SERENIDAD,SKIN CARE,,35 ML,,SERENIDAD,,0,7.57
01/11/2023,GEL ANTIBACTERIAL 35 ML TRANQ.,SKIN CARE,,35 ML,,TRANQUILIDAD,,0,8.9
01/11/2023,JABON AROMANDINA 100 GR COCA MENTA,SKIN CARE,JABONES,,100 GR,COCA MENTA,,4,22.9
01/11/2023,JABON AROMANDINA 100 GR HIERBA LUISA,SKIN CARE,JABONES,,100 GR,HIERBA LUISA,,2,22.9
01/11/2023,JABON AROMANDINA 100 GR MUÑA,SKIN CARE,JABONES,,100 GR,MUÑA,,2,22.9
01/11/2023,JABON AROMANDINA 100 GR PALO SANTO,SKIN CARE,JABONES,,100 GR,PALO SANTO,,3,22.9
01/11/2023,JABON AROMANDINA 100 GR RUDA,SKIN CARE,JABONES,,100 GR,RUDA,,3,22.9
03/11/2023,JABON DE LA ABUELA 100 GR ALMENDRA VAINILLA,SKIN CARE,JABONES,,100 GR,ALMENDRA VAINILLA,,2,22.9
03/11/2023,JABON DE LA ABUELA 100 GR FRUTAS SILVESTRES,SKIN CARE,JABONES,,100 GR,FRUTAS SILVESTRES,,2,22.9
03/11/2023,"JABON DE LA ABUELA 100 GR LECHE, AVENA Y MIEL",SKIN CARE,JABONES,,100 GR,"LECHE, AVENA Y MIEL",,3,22.9
03/11/2023,JABON DE LA ABUELA 100 GR LIMA LAVANDA,SKIN CARE,JABONES,,100 GR,LIMA LAVANDA,,-1,22.9
01/11/2023,JABON ESPUMOSO ROSTRO 200 ML AMOR,SKIN CARE,JABONES,200 ML,,AMOR,,0,75
01/11/2023,JABON ESPUMOSO ROSTRO 50 ML AMOR,SKIN CARE,JABONES,50 ML,,AMOR,,2,29.9
01/11/2023,JABON ESPUMOSO ROSTRO 200 ML BAMBOO,SKIN CARE,JABONES,200 ML,,BAMBOO,,1,75
05/01/2024,JABON ESPUMOSO ROSTRO 50 ML BAMBOO,SKIN CARE,JABONES,50 ML,,BAMBOO,,1,29.9
01/11/2023,JABON ESPUMOSO ROSTRO 200 ML ENERGÍA,SKIN CARE,JABONES,200 ML,,ENERGÍA,,3,75
05/01/2024,JABON ESPUMOSO ROSTRO 50 ML ENERGÍA,SKIN CARE,JABONES,50 ML,,ENERGÍA,,1,29.9
01/11/2023,JABON ESPUMOSO ROSTRO 200 ML HIERBA LUISA,SKIN CARE,JABONES,200 ML,,HIERBA LUISA,,1,75
01/11/2023,JABON ESPUMOSO ROSTRO 50 ML HIERBA LUISA,SKIN CARE,JABONES,50 ML,,HIERBA LUISA,,0,29.9
01/11/2023,JABON ESPUMOSO ROSTRO 200 ML TE VERDE,SKIN CARE,JABONES,200 ML,,TE VERDE,,2,75
01/11/2023,JABON ESPUMOSO ROSTRO 50 ML TE VERDE,SKIN CARE,JABONES,50 ML,,TE VERDE,,1,29.9
01/11/2023,JABON HERBAL 180 GR ASTRINGENTE,SKIN CARE,JABONES,,180 GR,ASTRINGENTE,,5,39.9
01/11/2023,JABON HERBAL 180 GR EXFOLIANTE,SKIN CARE,JABONES,,180 GR,EXFOLIANTE,,6,39.9
01/11/2023,JABON HERBAL 180 GR HUMECTANTE,SKIN CARE,JABONES,,180 GR,HUMECTANTE,,5,39.9
01/11/2023,JABON HERBAL 180 GR RUDA,SKIN CARE,JABONES,,180 GR,RUDA,,4,22.9
01/11/2023,JABON HERBAL 180 GR TONIFICANTE,SKIN CARE,JABONES,,180 GR,TONIFICANTE,,5,39.9
01/11/2023,JABON OLIVA 100 GR ALMENDRAS,SKIN CARE,JABONES,,100 GR,ALMENDRAS,,3,22.9
01/11/2023,JABON OLIVA 100 GR CHOCOLATE,SKIN CARE,JABONES,,100 GR,CHOCOLATE,,2,22.9
01/11/2023,JABON OLIVA 100 GR COCA MENTA,SKIN CARE,JABONES,,100 GR,COCA MENTA,,4,22.9
01/11/2023,JABON OLIVA 100 GR COCO,SKIN CARE,JABONES,,100 GR,COCO,,3,22.9
01/11/2023,JABON OLIVA 100 GR LAVANDA,SKIN CARE,JABONES,,100 GR,LAVANDA,,2,22.9
09/11/2023,JABON OLIVA 100 GR MANZANILLA,SKIN CARE,JABONES,,100 GR,MANZANILLA,,3,22.9
01/11/2023,LOCION PARA MANOS Y CUERPO 50 ML CHIRIMOYA,SKIN CARE,LOCIONES,50 ML,,CHIRIMOYA,,1,19.9
01/11/2023,LOCION PARA MANOS Y CUERPO 50 ML HIERBA LUISA,SKIN CARE,LOCIONES,50 ML,,HIERBA LUISA,,3,19.9
01/11/2023,LOCION PARA MANOS Y CUERPO 50 ML MENTA,SKIN CARE,LOCIONES,50 ML,,MENTA,,1,19.9
01/11/2023,LOCION PARA MANOS Y CUERPO 50 ML MUÑA,SKIN CARE,LOCIONES,50 ML,,MUÑA,,2,19.9
01/11/2023,LOCION PARA MANOS Y CUERPO 50 ML PALO SANTO,SKIN CARE,LOCIONES,50 ML,,PALO SANTO,,3,19.9
09/11/2023,SALES EN BALA 80 GR FRUTAS TROPICALES,SKIN CARE,SALES DE BAÑO,,80 GR,FRUTAS TROPICALES,,1,19.5
01/11/2023,SALES EN BALA 80 GR HIERBA LUISA,SKIN CARE,SALES DE BAÑO,,80 GR,HIERBA LUISA,,2,19.5
01/11/2023,"SALES EN BALA 80 GR LECHE, AVENA Y MIEL",SKIN CARE,SALES DE BAÑO,,80 GR,"LECHE, AVENA Y MIEL",,2,19.5
01/11/2023,SALES EN BALA 80 GR MANZANILLA,SKIN CARE,SALES DE BAÑO,,80 GR,MANZANILLA,,3,19.5
09/11/2023,SALES EN BALA 80 GR ROSAS,SKIN CARE,SALES DE BAÑO,,80 GR,ROSAS,,3,19.5
27/06/2024,SHAMPOO X LT 1000 GR TRANQ.,SKIN CARE,SHAMPOO Y CONDITIONER,,1000 GR,TRANQUILIDAD,,0,78
01/11/2023,KIT ALMOHADILLA LAVANDA- MANZANILLA,KITS,,,,LAVANDA- MANZANILLA,,2,105
01/11/2023,KIT BARRILITO,KITS,,,,,,0,80
01/11/2023,KIT BOTANICO,KITS,,,,,,0,59.9
01/11/2023,KIT BURBUJA,KITS,,,,,,2,65
01/11/2023,KIT COCO,KITS,,,,,,2,115
01/11/2023,KIT COFRE DE ALMENDRAS,KITS,,,,,,2,110
01/11/2023,KIT HIERBA LUISA,KITS,.,,,,,3,63
01/11/2023,KIT FRESH VERBENA,KITS,.,,,,,2,130
01/11/2023,KIT TETERA,KITS,.,,,,,3,95
01/11/2023,KIT TIARE,KITS,.,,,,,0,90
01/11/2023,KIT VELA BOTÁNICA,KITS,.,,,,,0,79.9
22/12/2023,KIT ZEN ENERGÍA,KITS,,,,ENERGÍA,,0,65
23/12/2023,KIT ZEN TRANQ.,KITS,,,,TRANQUILIDAD,,0,65
01/11/2023,JABON DE LA ABUELA CAJA X 3 UNIDADES,SKIN CARE,JABONES,,,,,5,59.9
01/11/2023,JABON OLIVA CAJA X 3 UNIDADES,SKIN CARE,JABONES,,,,,3,59.9
01/11/2023,SALES EN BALA CAJA X 4 UNIDADES,SKIN CARE,JABONES,,,,,2,58.9
01/11/2023,PORTA POTPOURRI C/ POTPOURRI,ACCESORIOS,,,,,,1,66.9
01/11/2023,COLONIAS EDICION ESPECIAL 180 ML ORQUIDEA BLANCA,COLONIAS Y PERFUMES,COLONIAS,180 ML,,ORQUIDEA BLANCA,,10,59
01/11/2023,COLONIAS EDICION ESPECIAL 180 ML TÉ VERBENA,COLONIAS Y PERFUMES,COLONIAS,180 ML,,TÉ VERBENA,,18,59
01/11/2023,ALMOHADILLA CINTURA ED. LIMITADA,ACCESORIOS,,,,,,2,93.9
01/11/2023,ALMOHADILLA CUELLO ED.LIMITADA,ACCESORIOS,,,,,,0,93.9
01/11/2023,KIT ORQUIDEA BLANCA,KITS,,,,,,3,138
01/11/2023,BLEND BABY FACE,SKIN CARE,SERUM,,,,,1,61.9
01/11/2023,BLEND POWER HAIR,SKIN CARE,SERUM,,,,,3,61.9
01/11/2023,BLEND SEXY LOOK,SKIN CARE,SERUM,,,,,2,61.9
01/11/2023,KIT ZEN RENOVADO AMOR,KITS,,,,AMOR,,0,75
01/11/2023,KIT ZEN RENOVADO ARMONÍA,KITS,,,,ARMONÍA,,3,75
01/11/2023,KIT ZEN RENOVADO ENERGÍA,KITS,,,,ENERGÍA,,3,75
01/11/2023,KIT ZEN RENOVADO FELICIDAD,KITS,,,,FELICIDAD,,2,75
09/11/2023,KIT ZEN RENOVADO SERENIDAD,KITS,,,,SERENIDAD,,4,63.75
01/11/2023,KIT ZEN RENOVADO TRANQ.,KITS,,,,TRANQ.,,3,75
15/12/2023,KIT CUARZOS,KITS,,,,,,2,75
25/01/2024,FRAGANCIA ARIES 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,ARIES,,2,38.9
25/01/2024,FRAGANCIA TAURO 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,TAURO,,1,38.9
25/01/2024,FRAGANCIA CANCER 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,CANCER,,1,38.9
25/01/2024,FRAGANCIA LEO 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,LEO,,1,38.9
15/02/2024,FRAGANCIA VIRGO 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,VIRGO,,1,38.9
25/01/2024,FRAGANCIA LIBRA 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,LIBRA,,1,38.9
25/01/2024,FRAGANCIA ESCORPIO 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,ESCORPIO,,1,38.9
25/01/2024,FRAGANCIA SAGITARIO 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,SAGITARIO,,1,38.9
25/01/2024,FRAGANCIA CAPRICORNIO 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,CAPRICORNIO,,1,38.9
15/02/2024,FRAGANCIA ACUARIO 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,ACUARIO,,1,38.9
25/01/2024,FRAGANCIA PISCIS 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,PISCIS,,1,38.9
15/02/2024,INCIENSO CONO VEGETAL X 5 UNID,AROMATIZADORES,INCIENSOS,,,,,3,14.9
15/03/2024,ROLLER FACIAL JADE,ACCESORIOS,,,,,,6,59
15/03/2024,ROLLER FACIAL ROSA,ACCESORIOS,,,,,,1,59
15/03/2024,GUASHA FACIAL JADE,ACCESORIOS,,,,,,2,55
15/03/2024,GUASHA FACIL ROSA,ACCESORIOS,,,,,,2,55
15/03/2024,NECESSER,ACCESORIOS,,,,,,2,0
11/04/2024,KIT CANASTITA,KITS,,,,,,1,49.9
28/07/2024,SPRAY AROMATIZADOR AMOR 60 ML,AROMATIZADORES,SPRAYS,60 ML,,AMOR,,5,33.9
29/07/2024,SPRAY AROMATIZADOR SERENIDAD 60 ML,AROMATIZADORES,SPRAYS,60 ML,,SERENIDAD,,0,28.82
17/05/2024,SPRAY AROMATIZADOR TRANQUILIDAD 60 ML,AROMATIZADORES,SPRAYS,60 ML,,TRANQUILIDAD,,-2,33.9
23/08/2024,SPRAY AROMATIZADOR ENERGÍA 60 ML,AROMATIZADORES,SPRAYS,60 ML,,ENERGÍA,,-2,33.9
17/05/2024,SPRAY AROMATIZADOR ARMONÍA 60 ML,AROMATIZADORES,SPRAYS,60 ML,,ARMONÍA,,-1,33.9
17/05/2024,SPRAY AROMATIZADOR FELICIDAD 60 ML,AROMATIZADORES,SPRAYS,60 ML,,FELICIDAD,,2,33.9
23/05/2024,MINI BURBUJA DE BAÑO TRANQ + PUMP 173 ML,SKIN CARE,BURBUJAS,173 ML,,TRANQUILIDAD,,0,29.9
23/05/2024,MINI BURBUJA DE BAÑO SERENIDAD + PUMP 173 ML,SKIN CARE,BURBUJAS,173 ML,,SERENIDAD,,0,25.42
23/05/2024,MINI BURBUJA DE BAÑO FELICIDAD + PUMP 173 ML,SKIN CARE,BURBUJAS,173 ML,,FELICIDAD,,0,29.9
23/05/2024,BURBUJA DE BAÑO TRANQ + PUMP 520 ML,SKIN CARE,BURBUJAS,520 ML,,TRANQUILIDAD,,0,59.9
23/05/2024,BURBUJA DE BAÑO SERENIDAD + PUMP 520 ML,SKIN CARE,BURBUJAS,520 ML,,SERENIDAD,,0,50.92
14/06/2024,ACEITE PARA BARBA 10 ML,SKIN CARE,ACEITES NUTRITIVOS,10 ML,,,,2,19.9
06/08/2024,KIT BUDA LIMPIADOR DE ENERGIAS,KITS,,,,,,1,63.9
13/09/2024,DIFUSOR PARLANTE 350 ML SETIEMBRE 2024,AROMATIZADORES,DIFUSORES,,,,,0,240
13/09/2024,DIFUSOR FLAME 180 ML SETIEMBRE 2024,AROMATIZADORES,DIFUSORES,,,,,1,160
27/09/2024,SPRAY AROMATIZADOR PREMIUM 550 ML ALPHA,AROMATIZADORES,SPRAYS,550 ML,,ALPHA,,3,79.9
27/09/2024,SPRAY AROMATIZADOR PREMIUM 550 ML MARINE,AROMATIZADORES,SPRAYS,550 ML,,MARINE,,2,79.9
27/09/2024,SPRAY AROMATIZADOR PREMIUM 550 ML SUMMER,AROMATIZADORES,SPRAYS,550 ML,,SUMMER,,6,79.9