NAME,TAMBURCO,GUADALUPE ,,
SUPERBOARD ST 1.22X2.44X8MM,1,0,,
SUPERBOARD MADERA 1.22X2X44X8MM,3,0,,
SUNFIRE 1/4,47,0,,
THRU MASTER LT,24,12,,
THRU MASTER 1/4,51,24,,
TELA MOSQUITERO NEGRA 1.2X30M 95-100G/M2,7,5,,
TELA MOSQUITERO MET 14X14 0.90X30 M,24,2,,
TIFON KG,175,49,,
TOG K LT,48,10,,
TRASLATE 1/4,11,0,,
TRIPLE A LT,19,0,,
TRIPLE A 1/4,15,4,,
VITA PHOS LT,6,11,,
VITALIZE KG,50,11,,
VITAVAX 200GR,34,4,,
PERNO P/LLAVE,40,0,,
CAPERUZA ,9,5,,
TAPA DE DEPOSITO,5,1,,
TORNILLO AUTOAVERLLANANTE P/B,62,8,,
TORNILLO AUTOAVERLLANANTE P/F,65,0.7,,
TORNILLO PAN 7X11 P/BROCA (MILLAR),60,10,,
TORNILLO PAN 7X11 P/FINA (MILLAR),36,26,,
TORNILLO PLACA 6X25MM P/BROCA (MILLAR),26,23,,
TORNILLO PLACA 6X25MM P/FINA (MILLAR),167,27,,
TORNILLO PLACA 6X32MM P/FINA (MILLAR),24,0,,
TORNILLO WAFER 8X13MM P/BROCA (MILLAR),64,13,,
TORNILLO WAFER 8X13MM P/FINA (MILLAR),84,29,,
TORNILLO 6X41 P/BROCA,,2,,
BOQUILLA GRADUABLE,41,5,,
BOQUILLA ROYAL CONDOR,,10,,
TUBO ATOMIZADOR,10,10,,
TUERCA DE BOQUILLA,30,9,,
TUERCA RACOR,,10,,
BIELA HEMBRA,1,5,,
BIELA MACHO,,5,,
TAPA DE BOQUILLA,11,9,,
DISCO DE BOQUILLA,1,0,,
"""o"" RING ANILLO CUERPO DE VALVULA",95,25,,
CUARPO DE VALVULA ,35,10,,
CORREA CON GANCHO,,10,,
UREA AGRICOLA STANDAR X 50KG,55,17,,
UREA GRANULAR,,9,,
SUSPENS PRINC.CTK 15/16X3.66M BL,457,127,,
SUSPENS SECUND.CTK 15/16X1.22M BL,1720,446,,
SUSPENS TERCIARIA.CTK 15/16X0.61 M BL,4994,481,,
ANG.PERIMETRAL.CTK 15/16X3.05M BL,2244,265,,
ANGULO ESQUINERO X 0.30 X 3.00 GALV,942,20,,
TECNOPOR 1,40,0,,
TECNOPOR 12,133,0,,
TECNOPOR 15,90,0,,
TECNOPOR-12X30X3MT D-15,251,0,,
TECNOPOR-15X30X3MT D-15,273,0,,
TANQUE ARENA 1100LT,12,1,,
TANQUE AZUL 1100LT,1,0,,
TEJA ANDINA BARRO 1.14*0.72M,200,34,,
TEJA LIMATESA,42,0,,
"TIRAFON HEX 1/4*2 1/2""",5680,0,,
TIRAFON HEX 1/4*4,1735,0,,
TIRAFON HEX 1/4*5,9250,900,,
CLAVO CC 3/4X17 CARP 15 KG. GRANEL,150,0,,
CLAVO CC 1/2X19 CARP 15 KG. GRANEL,90,0,,
TEJA COLONIAL,32,0,,
CUMBRERA FIJA PERFIL 4/ROJA,25,0,,
YARAMILA COMPLEX X 50 KG,,15,,
ASPERSOR DONE WELL 1 1/2,8,,,
TEE 1 1/2 50MM HAPE,29,,,
UNION 1 1/2 50MM HAPE,20,,,
VALVULA 50 X 50 1 1/2 HAPE,10,,,
CODO 1 1/2 50 HAPE,16,,,
UNION HAPE 3/4 20,10,,,
CODO HAPE 3/4 20,10,,,
TEE HAPE 3/4 20,20,,,
ASPERSORES VIR 35,12,,,
VALVULA 3/4 VIR,7,,,
BLOCK DE VIDRIO,12,,,
WINCHA PASACABLE TRUPER,1,,,
ESPATULA 3,3,,,
"ESPATULA DE 5 """,4,,,
"ESPATULA DE 12 """,1,,,
LLAVE DE PASO 1/2 IPS,28,,,
CODO 1/2 HIDRO,30,,,
UNION DE 1/2 HIDRO,30,,,
NIPLE 1/2 HIDRO,60,,,
BUSHING 3/4 A 1/2 HIDRO,30,,,
TEE 1/2 HIDRO,30,,,
TAPON 1/2 HIDRO,30,,,
UNION UNIVERSAL HIDRO 1/2,30,,,
TEE 3/4 HIDRO,20,,,
CODO 3/4 HIDRO,20,,,
REDUNCCION 3/4 A 1/2 HIDRO,40,,,
TAPON 3/4 HIDRO,20,,,
NIPLE 3/4 HIDRO,20,,,
"BUSHING 1"" X 1/2 HIDRO",20,,,
TUBO 3/4 IPS HIDRO,15,,,
"BUSHING 1"" X 3/4 HIDRO",20,,,
CODO GALVANIZADO DE 1/2,30,,,
"BUSHING  1 1/2"" A 1"" HIDRO",10,,,
UNION UNIVERSAL PCP 1/2 IPS,24,,,
VALVULA TELESCOPICA PCP,7,,,
LLAVE DE PASO / UNION UNIVERSAL PCP,10,,,
CONECTOR YEE 1/2 X 1/2,8,,,
UNION DE REPACION PCP,9,,,
VALVULA CHEK 3/4,10,,,
MEZCLADORA DE DUCHA VAINSA,3,,,
MEZCLADORA DE DUCHA TREBOL,5,,,
DUCHA ELECTRICA TRAMONTINA,4,,,
"TUBO DE DESAGUE 6 """,3,,,
NIPLE DE BRONCE DE 1/2,10,,,
ADAPTADOR BRONCE,6,,,
LLAVE DE PASO BRONCE DE 1/2,10,,,
"TUBOS DE 3 "" COPLAS",40,,,
"CURVA DE 2"" SEL",60,,,
CURVAS DE 1 1/2,12,,,
ENCHUFE STAR UNIVERSAL,19,,,
TABLERO DE DISTRIBUCION 18 POLOS,10,,,
CAJA DE PASO 15X15,7,,,
CAJA DE PASO 20X20,4,,,
CAJA DE PASO 20X25,2,,,
"VALVULA 2"" PVC",3,,,
"VALVULA 1 1/2"" PVC",4,,,
REMACHADOR TRUPER,1,,,
SELLADOR CRONOS 5G,2,,,
SELLADOR CPP 4G,2,,,
CUTER TRUPER,,8,,
CHANCLA DE CARPINTERO,,1,,
MARCO DE PUERTA 2.10 ,,9,,
MULTIFRUT,,5,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,