Category,Description,Tag1,Tag2,brand_id
Accesorios,APAGA VELA,,,1
Canastas,CANASTA CHICA,,,1
Canastas,CANASTA GRANDE,,,1
Esponjas,ESPONJA TEJIDA,,,1
Esponjas,ESPONJA VEGETAL-LOOFA,,,1
Accesorios,GUANTES EXFOLIANTES,,,1
Accesorios,PORTA INCIENSO LARGO,,,1
Accesorios,PORTA POTPOURRI S/ POTPOURRI,,,1
Accesorios,POSA VELA CERÁMICA GRANDE,,,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML AMOR,180 ML,AMOR,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML ARMONÍA,180 ML,ARMONÍA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML ENERGÍA,180 ML,ENERGÍA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML EUCALIPTO,180 ML,EUCALIPTO,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML FELICIDAD,180 ML,FELICIDAD,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML LAVANDA,180 ML,LAVANDA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML MANDARINA,180 ML,MANDARINA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML ROSAS,180 ML,ROSAS,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML SERENIDAD,180 ML,SERENIDAD,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML TE VERDE,180 ML,TE VERDE,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML TRANQ.,180 ML,TRANQ.,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML VAINILLA,180 ML,VAINILLA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML AMOR,180 ML,AMOR,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML ARMONÍA,180 ML,ARMONÍA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,180 ML,ENERGÍA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML EUCALIPTO,180 ML,EUCALIPTO,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,180 ML,FELICIDAD,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML MANDARINA,180 ML,MANDARINA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML ROSAS,180 ML,ROSAS,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,1
Accesorios,CAJONERAS,,,1
Fragancias,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,1
Fragancias,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,1
Fragancias,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,1
Fragancias,FRAGANCIA 30 ML AMOR,30 ML,AMOR,1
Fragancias,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,1
Fragancias,FRAGANCIA 20 ML ANTI STRESS,20 ML,ANTI STRESS,1
Fragancias,FRAGANCIA 30 ML ANTI STRESS,30 ML,ANTI STRESS,1
Fragancias,FRAGANCIA 10 ML ARMONÍA,10 ML,ARMONÍA,1
Fragancias,FRAGANCIA 30 ML ARMONÍA,30 ML,ARMONÍA,1
Fragancias,FRAGANCIA 10 ML BAMBOO,10 ML,BAMBOO,1
Fragancias,FRAGANCIA 20 ML BAMBOO,20 ML,BAMBOO,1
Fragancias,FRAGANCIA 30 ML BAMBOO,30 ML,BAMBOO,1
Fragancias,FRAGANCIA 10 ML CANELA,10 ML,CANELA,1
Fragancias,FRAGANCIA 20 ML CANELA,20 ML,CANELA,1
Fragancias,FRAGANCIA 30 ML CANELA,30 ML,CANELA,1
Fragancias,FRAGANCIA 10 ML COCO,10 ML,COCO,1
Fragancias,FRAGANCIA 20 ML COCO,20 ML,COCO,1
Fragancias,FRAGANCIA 30 ML COCO,30 ML,COCO,1
Fragancias,FRAGANCIA 20 ML ENERGÍA,20 ML,ENERGÍA,1
Fragancias,FRAGANCIA 30 ML ENERGÍA,30 ML,ENERGÍA,1
Fragancias,FRAGANCIA 10 ML ENERGIZANTE,10 ML,ENERGIZANTE,1
Fragancias,FRAGANCIA 20 ML ENERGIZANTE,20 ML,ENERGIZANTE,1
Fragancias,FRAGANCIA 30 ML ENERGIZANTE,30 ML,ENERGIZANTE,1
Fragancias,FRAGANCIA 10 ML EUCALIPTO,10 ML,EUCALIPTO,1
Fragancias,FRAGANCIA 20 ML EUCALIPTO,20 ML,EUCALIPTO,1
Fragancias,FRAGANCIA 30 ML EUCALIPTO,30 ML,EUCALIPTO,1
Fragancias,FRAGANCIA 30 ML FELICIDAD,30 ML,FELICIDAD,1
Fragancias,FRAGANCIA 10 ML HIERBA LUISA,10 ML,HIERBA LUISA,1
Fragancias,FRAGANCIA 20 ML HIERBA LUISA,20 ML,HIERBA LUISA,1
Fragancias,FRAGANCIA 30 ML HIERBA LUISA,30 ML,HIERBA LUISA,1
Fragancias,FRAGANCIA 10 ML JAZMIN,10 ML,JAZMIN,1
Fragancias,FRAGANCIA 20 ML JAZMIN,20 ML,JAZMIN,1
Fragancias,FRAGANCIA 30 ML JAZMIN,30 ML,JAZMIN,1
Fragancias,FRAGANCIA 10 ML LAVANDA,10 ML,LAVANDA,1
Fragancias,FRAGANCIA 20 ML LAVANDA,20 ML,LAVANDA,1
Fragancias,FRAGANCIA 30 ML LAVANDA,30 ML,LAVANDA,1
Fragancias,FRAGANCIA 10 ML LIMON,10 ML,LIMON,1
Fragancias,FRAGANCIA 20 ML LIMON,20 ML,LIMON,1
Fragancias,FRAGANCIA 30 ML LIMON,30 ML,LIMON,1
Fragancias,FRAGANCIA 10 ML MANDARINA,10 ML,MANDARINA,1
Fragancias,FRAGANCIA 20 ML MANDARINA,20 ML,MANDARINA,1
Fragancias,FRAGANCIA 30 ML MANDARINA,30 ML,MANDARINA,1
Fragancias,FRAGANCIA 10 ML MANZANA,10 ML,MANZANA,1
Fragancias,FRAGANCIA 20 ML MANZANA,20 ML,MANZANA,1
Fragancias,FRAGANCIA 30 ML MANZANA,30 ML,MANZANA,1
Fragancias,FRAGANCIA 10 ML MANZANILLA,10 ML,MANZANILLA,1
Fragancias,FRAGANCIA 20 ML MANZANILLA,20 ML,MANZANILLA,1
Fragancias,FRAGANCIA 30 ML MANZANILLA,30 ML,MANZANILLA,1
Fragancias,FRAGANCIA 10 ML MENTA,10 ML,MENTA,1
Fragancias,FRAGANCIA 20 ML MENTA,20 ML,MENTA,1
Fragancias,FRAGANCIA 30 ML MENTA,30 ML,MENTA,1
Fragancias,FRAGANCIA 10 ML MUÑA,10 ML,MUÑA,1
Fragancias,FRAGANCIA 20 ML MUÑA,20 ML,MUÑA,1
Fragancias,FRAGANCIA 30 ML MUÑA,30 ML,MUÑA,1
Fragancias,FRAGANCIA 10 ML ORQUIDEA BLANCA,10 ML,ORQUIDEA BLANCA,1
Fragancias,FRAGANCIA 20 ML ORQUIDEA BLANCA,20 ML,ORQUIDEA BLANCA,1
Fragancias,FRAGANCIA 30 ML ORQUIDEA BLANCA,30 ML,ORQUIDEA BLANCA,1
Fragancias,FRAGANCIA 10 ML REFRESCANTE,10 ML,REFRESCANTE,1
Fragancias,FRAGANCIA 20 ML REFRESCANTE,20 ML,REFRESCANTE,1
Fragancias,FRAGANCIA 30 ML REFRESCANTE,30 ML,REFRESCANTE,1
Fragancias,FRAGANCIA 10 ML RELAJANTE,10 ML,RELAJANTE,1
Fragancias,FRAGANCIA 20 ML RELAJANTE,20 ML,RELAJANTE,1
Fragancias,FRAGANCIA 30 ML RELAJANTE,30 ML,RELAJANTE,1
Fragancias,FRAGANCIA 10 ML ROSAS,10 ML,ROSAS,1
Fragancias,FRAGANCIA 20 ML ROSAS,20 ML,ROSAS,1
Fragancias,FRAGANCIA 30 ML ROSAS,30 ML,ROSAS,1
Fragancias,FRAGANCIA 10 ML SANDALO,10 ML,SANDALO,1
Fragancias,FRAGANCIA 20 ML SANDALO,20 ML,SANDALO,1
Fragancias,FRAGANCIA 30 ML SANDALO,30 ML,SANDALO,1
Fragancias,FRAGANCIA 30 ML SERENIDAD,30 ML,SERENIDAD,1
Fragancias,FRAGANCIA 10 ML TÉ VERBENA,10 ML,TÉ VERBENA,1
Fragancias,FRAGANCIA 20 ML TÉ VERBENA,20 ML,TÉ VERBENA,1
Fragancias,FRAGANCIA 30 ML TÉ VERBENA,30 ML,TÉ VERBENA,1
Fragancias,FRAGANCIA 10 ML TE VERDE,10 ML,TE VERDE,1
Fragancias,FRAGANCIA 20 ML TE VERDE,20 ML,TE VERDE,1
Fragancias,FRAGANCIA 30 ML TE VERDE,30 ML,TE VERDE,1
Fragancias,FRAGANCIA 30 ML TRANQ.,30 ML,TRANQ.,1
Fragancias,FRAGANCIA 10 ML VAINILLA,10 ML,VAINILLA,1
Fragancias,FRAGANCIA 20 ML VAINILLA,20 ML,VAINILLA,1
Fragancias,FRAGANCIA 30 ML VAINILLA,30 ML,VAINILLA,1
Fragancias,FRAGANCIA DE REGALO 10 ML,10 ML,,1
Inciensos,INCIENSO AMOR,,AMOR,1
Inciensos,INCIENSO ARMONÍA,,ARMONÍA,1
Inciensos,INCIENSO ENERGÍA,,ENERGÍA,1
Inciensos,INCIENSO FELICIDAD,,FELICIDAD,1
Inciensos,INCIENSO SERENIDAD,,SERENIDAD,1
Inciensos,INCIENSO TRANQ.,,TRANQ.,1
Conos,CONO POTPOURRI 100 GR ANTI STRESS,100 GR,ANTI STRESS,1
Conos,CONO POTPOURRI 1 KG ANTI STRESS,1 KG,ANTI STRESS,1
Conos,CONO POTPOURRI 100 GR AROMAS DEL BOSQUE,100 GR,AROMAS DEL BOSQUE,1
Conos,CONO POTPOURRI 100 GR ENERGIZANTE,100 GR,ENERGIZANTE,1
Conos,CONO POTPOURRI 100 GR REFRESCANTE,100 GR,REFRESCANTE,1
Conos,CONO POTPOURRI 100 GR RELAJANTE,100 GR,RELAJANTE,1
Conos,CONO POTPOURRI 100 GR VAINILLA,100 GR,VAINILLA,1
Sprays,SPRAY AROMATIZADOR 550 ML AMOR,550 ML,AMOR,1
Sprays,SPRAY AROMATIZADOR 550 ML ARMONÍA,550 ML,ARMONÍA,1
Sprays,SPRAY AROMATIZADOR 550 ML CLIO,550 ML,CLIO,1
Sprays,SPRAY AROMATIZADOR 550 ML COCO,550 ML,COCO,1
Sprays,SPRAY AROMATIZADOR 550 ML ENERGÍA,550 ML,ENERGÍA,1
Sprays,SPRAY AROMATIZADOR 550 ML EUCALIPTO,550 ML,EUCALIPTO,1
Sprays,SPRAY AROMATIZADOR 550 ML FELICIDAD,550 ML,FELICIDAD,1
Sprays,SPRAY AROMATIZADOR 30 ML HIERBA LUISA,30 ML,HIERBA LUISA,1
Sprays,SPRAY AROMATIZADOR 550 ML HIERBA LUISA,550 ML,HIERBA LUISA,1
Sprays,SPRAY AROMATIZADOR 30 ML LAVANDA,30 ML,LAVANDA,1
Sprays,SPRAY AROMATIZADOR 550 ML LAVANDA,550 ML,LAVANDA,1
Sprays,SPRAY AROMATIZADOR 30 ML MANZANA CANELA,30 ML,MANZANA CANELA,1
Sprays,SPRAY AROMATIZADOR 550 ML MANZANA CANELA,550 ML,MANZANA CANELA,1
Sprays,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,550 ML,ORQUIDEA BLANCA,1
Sprays,SPRAY AROMATIZADOR 30 ML SERENIDAD,30 ML,SERENIDAD,1
Sprays,SPRAY AROMATIZADOR 550 ML SERENIDAD,550 ML,SERENIDAD,1
Sprays,SPRAY AROMATIZADOR 550 ML TÉ VERBENA,550 ML,TÉ VERBENA,1
Sprays,SPRAY AROMATIZADOR 30 ML TE VERDE,30 ML,TE VERDE,1
Sprays,SPRAY AROMATIZADOR 550 ML TE VERDE,550 ML,TE VERDE,1
Sprays,SPRAY AROMATIZADOR 550 ML TRANQ.,550 ML,TRANQ.,1
Sprays,SPRAY AROMATIZADOR 30 ML VAINILLA,30 ML,VAINILLA,1
Sprays,SPRAY AROMATIZADOR 550 ML VAINILLA,550 ML,VAINILLA,1
Accesorios,FAROLA,,,1
Velas,VELA BOTÁNICA BRISAS DEL MAR,,BRISAS DEL MAR,1
Velas,VELA BOTÁNICA CANELA,,CANELA,1
Velas,VELA BOTÁNICA CHOCOLATE,,CHOCOLATE,1
Velas,VELA BOTÁNICA EUCALIPTO,,EUCALIPTO,1
Velas,VELA BOTÁNICA NARANJA,,NARANJA,1
Velas,VELA BOTÁNICA ROSAS,,ROSAS,1
Accesorios,ALMOHADILLA DE CINTURA,,,1
Accesorios,ALMOHADILLA DE CUELLO,,,1
Accesorios,ALMOHADILLA DE ENSUEÑO,,,1
Esencias,ESENCIA 10 ML ADIOS ANSIEDAD,10 ML,ADIOS ANSIEDAD,1
Esencias,ESENCIA 10 ML BUENAS NOCHES,10 ML,BUENAS NOCHES,1
Esencias,ESENCIA 10 ML ME SIENTO SEXY,10 ML,ME SIENTO SEXY,1
Esencias,ESENCIA 10 ML MIGRA FREE,10 ML,MIGRA FREE,1
Esencias,ESENCIA 10 ML RESPIRO Y SUSPIRO,10 ML,RESPIRO Y SUSPIRO,1
Esencias,ESENCIA 10 ML STRESS FREE,10 ML,STRESS FREE,1
Accesorios,KIT JARDIN DEL ZEN,,,1
Aceites,ACEITE NUTRITIVO 34 ML ALMENDRAS,34 ML,ALMENDRAS,1
Aceites,ACEITE NUTRITIVO 120 ML ALMENDRAS,120 ML,ALMENDRAS,1
Aceites,ACEITE NUTRITIVO 34 ML COCO,34 ML,COCO,1
Aceites,ACEITE NUTRITIVO 200 GR COCO,200 GR,COCO,1
Aceites,ACEITE NUTRITIVO 10 ML TIARE,10 ML,TIARE,1
Aceites,ACEITE NUTRITIVO 34 ML TIARE,34 ML,TIARE,1
Aceites,ACEITE NUTRITIVO 120 ML TIARE,120 ML,TIARE,1
Aceites,ACEITE NUTRITIVO 120 ML TIARE+JOJOBA,120 ML,TIARE+JOJOBA,1
Aceites,ACEITE PARA MASAJES 34 ML AMOR,34 ML,AMOR,1
Aceites,ACEITE PARA MASAJES 240 ML AMOR,240 ML,AMOR,1
Aceites,ACEITE PARA MASAJES 34 ML ARMONÍA,34 ML,ARMONÍA,1
Aceites,ACEITE PARA MASAJES 240 ML ARMONÍA,240 ML,ARMONÍA,1
Aceites,ACEITE PARA MASAJES 34 ML ENERGÍA,34 ML,ENERGÍA,1
Aceites,ACEITE PARA MASAJES 240 ML ENERGÍA,240 ML,ENERGÍA,1
Aceites,ACEITE PARA MASAJES 34 ML FELICIDAD,34 ML,FELICIDAD,1
Aceites,ACEITE PARA MASAJES 240 ML FELICIDAD,240 ML,FELICIDAD,1
Aceites,ACEITE PARA MASAJES 240 ML HIERBA LUISA,240 ML,HIERBA LUISA,1
Aceites,ACEITE PARA MASAJES 34 ML SERENIDAD,34 ML,SERENIDAD,1
Aceites,ACEITE PARA MASAJES 240 ML SERENIDAD,240 ML,SERENIDAD,1
Aceites,ACEITE PARA MASAJES 34 ML TRANQ.,34 ML,TRANQ.,1
Aceites,ACEITE PARA MASAJES 240 ML TRANQ.,240 ML,TRANQ.,1
Burbujas,BURBUJAS DE BAÑO 173 ML AMOR,173 ML,AMOR,1
Burbujas,BURBUJAS DE BAÑO 520 ML AMOR,520 ML,AMOR,1
Burbujas,BURBUJAS DE BAÑO 173 ML ARMONÍA,173 ML,ARMONÍA,1
Burbujas,BURBUJAS DE BAÑO 520 ML ARMONÍA,520 ML,ARMONÍA,1
Burbujas,BURBUJAS DE BAÑO 173 ML ENERGÍA,173 ML,ENERGÍA,1
Burbujas,BURBUJAS DE BAÑO 520 ML ENERGÍA,520 ML,ENERGÍA,1
Burbujas,BURBUJAS DE BAÑO 34 ML FELICIDAD,34 ML,FELICIDAD,1
Burbujas,BURBUJAS DE BAÑO 173 ML FELICIDAD,173 ML,FELICIDAD,1
Burbujas,BURBUJAS DE BAÑO 520 ML FELICIDAD,520 ML,FELICIDAD,1
Burbujas,BURBUJAS DE BAÑO 34 ML SERENIDAD,34 ML,SERENIDAD,1
Burbujas,BURBUJAS DE BAÑO 173 ML SERENIDAD,173 ML,SERENIDAD,1
Burbujas,BURBUJAS DE BAÑO 520 ML SERENIDAD,520 ML,SERENIDAD,1
Burbujas,BURBUJAS DE BAÑO 34 ML TRANQ.,34 ML,TRANQ.,1
Burbujas,BURBUJAS DE BAÑO 173 ML TRANQ.,173 ML,TRANQ.,1
Burbujas,BURBUJAS DE BAÑO 520 ML TRANQ.,520 ML,TRANQ.,1
Burbujas,BURBUJAS DE BAÑO HOTELERO 34 ML SERENIDAD,34 ML,SERENIDAD,1
Colonias,COLONIA 10 ML AMOR,10 ML,AMOR,1
Colonias,COLONIA 180 ML AMOR,180 ML,AMOR,1
Colonias,COLONIA 10 ML ARMONÍA,10 ML,ARMONÍA,1
Colonias,COLONIA 180 ML ARMONÍA,180 ML,ARMONÍA,1
Colonias,COLONIA 10 ML ENERGÍA,10 ML,ENERGÍA,1
Colonias,COLONIA 180 ML ENERGÍA,180 ML,ENERGÍA,1
Colonias,COLONIA 10 ML FELICIDAD,10 ML,FELICIDAD,1
Colonias,COLONIA 180 ML FELICIDAD,180 ML,FELICIDAD,1
Colonias,COLONIA 10 ML SERENIDAD,10 ML,SERENIDAD,1
Colonias,COLONIA 180 ML SERENIDAD,180 ML,SERENIDAD,1
Colonias,COLONIA 10 ML TRANQ.,10 ML,TRANQ.,1
Colonias,COLONIA 180 ML TRANQ.,180 ML,TRANQ.,1
Baño,CONDITIONER CORPORATIVO GALON ARMONÍA,GALON,ARMONÍA,1
