Category,Description,Tag1,Tag2,brand_id
Baño,CONDITIONER CORPORATIVO GALON SERENIDAD,GALON,SERENIDAD,1
Cremas,CREMA HUMECTANTE 30 ML AMOR,30 ML,AMOR,1
Cremas,CREMA HUMECTANTE 190 GR AMOR,190 GR,AMOR,1
Cremas,CREMA HUMECTANTE 30 ML ARMONÍA,30 ML,ARMONÍA,1
Cremas,CREMA HUMECTANTE 190 GR ARMONÍA,190 GR,ARMONÍA,1
Cremas,CREMA HUMECTANTE 30 ML ENERGÍA,30 ML,ENERGÍA,1
Cremas,CREMA HUMECTANTE 190 GR ENERGÍA,190 GR,ENERGÍA,1
Cremas,CREMA HUMECTANTE 30 ML FELICIDAD,30 ML,FELICIDAD,1
Cremas,CREMA HUMECTANTE 190 GR FELICIDAD,190 GR,FELICIDAD,1
Cremas,CREMA HUMECTANTE 30 ML SERENIDAD,30 ML,SERENIDAD,1
Cremas,CREMA HUMECTANTE 190 GR SERENIDAD,190 GR,SERENIDAD,1
Cremas,CREMA HUMECTANTE 30 ML TRANQ.,30 ML,TRANQ.,1
Cremas,CREMA HUMECTANTE 190 GR TRANQ.,190 GR,TRANQ.,1
Repelentes,REPELENTE 100 ML -,100 ML,,1
Repelentes,REPELENTE 60 ML -,60 ML,,1
Repelentes,REPELENTE GALON -,GALON,,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR COCO,400 GR,COCO,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR HIERBA LUISA,400 GR,HIERBA LUISA,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR LIMON,400 GR,LIMON,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR ROSAS,400 GR,ROSAS,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR TE VERDE,400 GR,TE VERDE,1
Exfoliantes,ESPUMA EXFOLIANTE 400 GR UVA,400 GR,UVA,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML AMOR,220 ML,AMOR,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML ARMONÍA,220 ML,ARMONÍA,1
Exfoliantes,EXFOLIANTE JABONOSO 34 ML BAMBOO,34 ML,BAMBOO,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML BAMBOO,120 ML,BAMBOO,1
Exfoliantes,EXFOLIANTE JABONOSO 34 ML DURAZNO MANZANA,34 ML,DURAZNO MANZANA,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML DURAZNO MANZANA,120 ML,DURAZNO MANZANA,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML ENERGÍA,220 ML,ENERGÍA,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML FELICIDAD,220 ML,FELICIDAD,1
Exfoliantes,EXFOLIANTE JABONOSO 34 ML HIERBA LUISA,34 ML,HIERBA LUISA,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML HIERBA LUISA,120 ML,HIERBA LUISA,1
Exfoliantes,EXFOLIANTE JABONOSO 34 ML MARACUYA,34 ML,MARACUYA,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML MARACUYA,120 ML,MARACUYA,1
Exfoliantes,EXFOLIANTE JABONOSO 120 ML ORQUIDEA BLANCA,120 ML,ORQUIDEA BLANCA,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML SERENIDAD,220 ML,SERENIDAD,1
Exfoliantes,EXFOLIANTE JABONOSO 220 ML TRANQ.,220 ML,TRANQ.,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR AMOR,200 GR,AMOR,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR ARMONÍA,200 GR,ARMONÍA,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR ENERGÍA,200 GR,ENERGÍA,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR FELICIDAD,200 GR,FELICIDAD,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR SERENIDAD,200 GR,SERENIDAD,1
Exfoliantes,EXFOLIANTE OLEOSO 200 GR TRANQ.,200 GR,TRANQ.,1
Baño,GEL ANTIBACTERIAL 35 ML AMOR,35 ML,AMOR,1
Baño,GEL ANTIBACTERIAL 35 ML ARMONÍA,35 ML,ARMONÍA,1
Baño,GEL ANTIBACTERIAL 35 ML ENERGÍA,35 ML,ENERGÍA,1
Baño,GEL ANTIBACTERIAL 35 ML FELICIDAD,35 ML,FELICIDAD,1
Baño,GEL ANTIBACTERIAL 35 ML SERENIDAD,35 ML,SERENIDAD,1
Baño,GEL ANTIBACTERIAL 35 ML TRANQ.,35 ML,TRANQ.,1
Jabones,JABON AROMANDINA 100 GR CHIRIMOYA,100 GR,CHIRIMOYA,1
Jabones,JABON AROMANDINA 100 GR COCA MENTA,100 GR,COCA MENTA,1
Jabones,JABON AROMANDINA 100 GR HIERBA LUISA,100 GR,HIERBA LUISA,1
Jabones,JABON AROMANDINA 100 GR LUCUMA,100 GR,LUCUMA,1
Jabones,JABON AROMANDINA 100 GR MUÑA,100 GR,MUÑA,1
Jabones,JABON AROMANDINA 100 GR PALO SANTO,100 GR,PALO SANTO,1
Jabones,JABON AROMANDINA 100 GR RUDA,100 GR,RUDA,1
Jabones,JABON DE LA ABUELA 100 GR ALMENDRA VAINILLA,100 GR,ALMENDRA VAINILLA,1
Jabones,JABON DE LA ABUELA 100 GR FRUTAS SILVESTRES,100 GR,FRUTAS SILVESTRES,1
Jabones,"JABON DE LA ABUELA 100 GR LECHE, AVENA Y MIEL",100 GR,"LECHE, AVENA Y MIEL",1
Jabones,JABON DE LA ABUELA 100 GR LIMA LAVANDA,100 GR,LIMA LAVANDA,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML AMOR,200 ML,AMOR,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML AMOR,50 ML,AMOR,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML BAMBOO,200 ML,BAMBOO,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML BAMBOO,50 ML,BAMBOO,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML ENERGÍA,200 ML,ENERGÍA,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML ENERGÍA,50 ML,ENERGÍA,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML HIERBA LUISA,200 ML,HIERBA LUISA,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML HIERBA LUISA,50 ML,HIERBA LUISA,1
Jabones,JABON ESPUMOSO ROSTRO 200 ML TE VERDE,200 ML,TE VERDE,1
Jabones,JABON ESPUMOSO ROSTRO 50 ML TE VERDE,50 ML,TE VERDE,1
Jabones,JABON GLICERINA - TAJADA,,,1
Jabones,JABON HERBAL 180 GR ASTRINGENTE,180 GR,ASTRINGENTE,1
Jabones,JABON HERBAL 180 GR EXFOLIANTE,180 GR,EXFOLIANTE,1
Jabones,JABON HERBAL 180 GR HUMECTANTE,180 GR,HUMECTANTE,1
Jabones,JABON HERBAL 180 GR RUDA,180 GR,RUDA,1
Jabones,JABON HERBAL 180 GR TONIFICANTE,180 GR,TONIFICANTE,1
Jabones,JABON HERBAL HOTELERO 33 GR HIERBA LUISA,33 GR,HIERBA LUISA,1
Jabones,JABON LIQUIDO 30 ML AMOR,30 ML,AMOR,1
Jabones,JABON LIQUIDO 200 ML AMOR,200 ML,AMOR,1
Jabones,JABON LIQUIDO 150 ML AMOR,150 ML,AMOR,1
Jabones,JABON LIQUIDO 30 ML ARMONÍA,30 ML,ARMONÍA,1
Jabones,JABON LIQUIDO 150 ML ARMONÍA,150 ML,ARMONÍA,1
Jabones,JABON LIQUIDO 200 ML ENERGÍA,200 ML,ENERGÍA,1
Jabones,JABON LIQUIDO 150 ML ENERGÍA,150 ML,ENERGÍA,1
Jabones,JABON LIQUIDO 30 ML FELICIDAD,30 ML,FELICIDAD,1
Jabones,JABON LIQUIDO 200 ML FELICIDAD,200 ML,FELICIDAD,1
Jabones,JABON LIQUIDO 150 ML FELICIDAD,150 ML,FELICIDAD,1
Jabones,JABON LIQUIDO 30 ML SERENIDAD,30 ML,SERENIDAD,1
Jabones,JABON LIQUIDO 200 ML SERENIDAD,200 ML,SERENIDAD,1
Jabones,JABON LIQUIDO 150 ML SERENIDAD,150 ML,SERENIDAD,1
Jabones,JABON LIQUIDO 30 ML TRANQ.,30 ML,TRANQ.,1
Jabones,JABON LIQUIDO 200 ML TRANQ.,200 ML,TRANQ.,1
Jabones,JABON LIQUIDO 150 ML TRANQ.,150 ML,TRANQ.,1
Jabones,JABON LIQUIDO HOTELERO GALON ARMONÍA,GALON,ARMONÍA,1
Jabones,JABON LIQUIDO HOTELERO GALON SERENIDAD,GALON,SERENIDAD,1
Jabones,JABON OLIVA 100 GR ALMENDRAS,100 GR,ALMENDRAS,1
Jabones,JABON OLIVA 100 GR CHOCOLATE,100 GR,CHOCOLATE,1
Jabones,JABON OLIVA 100 GR COCA MENTA,100 GR,COCA MENTA,1
Jabones,JABON OLIVA 100 GR COCO,100 GR,COCO,1
Jabones,JABON OLIVA 100 GR LAVANDA,100 GR,LAVANDA,1
Jabones,JABON OLIVA 100 GR MANZANILLA,100 GR,MANZANILLA,1
Lociones,LOCION PARA MANOS Y CUERPO 50 ML CHIRIMOYA,50 ML,CHIRIMOYA,1
Lociones,LOCION PARA MANOS Y CUERPO 50 ML HIERBA LUISA,50 ML,HIERBA LUISA,1
Lociones,LOCION PARA MANOS Y CUERPO 50 ML LUCUMA,50 ML,LUCUMA,1
Lociones,LOCION PARA MANOS Y CUERPO 50 ML MENTA,50 ML,MENTA,1
Lociones,LOCION PARA MANOS Y CUERPO 50 ML MUÑA,50 ML,MUÑA,1
Lociones,LOCION PARA MANOS Y CUERPO 50 ML PALO SANTO,50 ML,PALO SANTO,1
Baño,SALES EN BALA 80 GR FRUTAS TROPICALES,80 GR,FRUTAS TROPICALES,1
Baño,SALES EN BALA 80 GR HIERBA LUISA,80 GR,HIERBA LUISA,1
Baño,"SALES EN BALA 80 GR LECHE, AVENA Y MIEL",80 GR,"LECHE, AVENA Y MIEL",1
Baño,SALES EN BALA 80 GR MANZANILLA,80 GR,MANZANILLA,1
Baño,SALES EN BALA 80 GR ROSAS,80 GR,ROSAS,1
Baño,SHAMPOO X LT 1000 GR ARMONÍA,1000 GR,ARMONÍA,1
Baño,SHAMPOO X LT 1000 GR COCO,1000 GR,COCO,1
Baño,SHAMPOO X LT 1000 GR SERENIDAD,1000 GR,SERENIDAD,1
Baño,SHAMPOO X LT 1000 GR TRANQ.,1000 GR,TRANQ.,1
Baño,SHAMPOO X LT 1000 GR FELICIDAD,1000 GR,FELICIDAD,1
Baño,SHAMPOO HOTELERO GALON ARMONÍA,GALON,ARMONÍA,1
Baño,SHAMPOO HOTELERO GALON SERENIDAD,GALON,SERENIDAD,1
Kits,KIT ALMOHADILLA LAVANDA- MANZANILLA,,LAVANDA- MANZANILLA,1
Kits,KIT BARRILITO,,,1
Kits,KIT BOTANICO,,,1
Kits,KIT BURBUJA,,,1
Kits,KIT COCO,,,1
Kits,KIT COFRE DE ALMENDRAS,,,1
Kits,KIT ESPONJA LAVANDA- MANZANILLA,,LAVANDA- MANZANILLA,1
Kits,KIT HIERBA LUISA,,,1
Kits,KIT FRESH VERBENA,,,1
Kits,KIT TETERA,,,1
Kits,KIT TIARE,,,1
Kits,KIT VELA BOTÁNICA,,,1
Kits,KIT ZEN AMOR,,AMOR,1
Kits,KIT ZEN ARMONÍA,,ARMONÍA,1
Kits,KIT ZEN ENERGÍA,,ENERGÍA,1
Kits,KIT ZEN FELICIDAD,,FELICIDAD,1
Kits,KIT ZEN SERENIDAD,,SERENIDAD,1
Kits,KIT ZEN TRANQ.,,TRANQ.,1
Baño,SALES EFERVESCENTES 50 GR BRISAS DEL MAR,50 GR,BRISAS DEL MAR,1
Baño,SALES EFERVESCENTES 50 GR CANELA,50 GR,CANELA,1
Baño,SALES EFERVESCENTES 50 GR HIERBA LUISA,50 GR,HIERBA LUISA,1
Baño,SALES EFERVESCENTES 50 GR LAVANDA,50 GR,LAVANDA,1
Baño,SALES EFERVESCENTES 50 GR MANZANILLA,50 GR,MANZANILLA,1
Baño,SALES EFERVESCENTES 50 GR ROSAS,50 GR,ROSAS,1
Jabones,JABON DE LA ABUELA CAJA X 3 UNIDADES,,,1
Jabones,JABON OLIVA CAJA X 3 UNIDADES,,,1
Baño,SALES EN BALA CAJA X 4 UNIDADES,,,1
Accesorios,PORTA POTPOURRI C/ POTPOURRI,,,1
Accesorios,ROLLER DE JADE,,,1
Sprays,SPRAY AROMATIZADOR ALCOHOL70° 550 ML FELICIDAD,550 ML,FELICIDAD,1
Sprays,SPRAY AROMATIZADOR ALCOHOL70° 550 ML TÉ VERBENA,550 ML,TÉ VERBENA,1
Jabones,PACK X 2 JABON EXTRA CREMOSO 180 GR COCO,180 GR,COCO,1
Jabones,PACK X 2 JABON EXTRA CREMOSO 180 GR ORQUIDEA BLANCA,180 GR,ORQUIDEA BLANCA,1
Baño,SHAMPOO CORPORATIVO 1.3 LITROS ARMONÍA,1.3 LITROS,ARMONÍA,1
Baño,SHAMPOO CORPORATIVO 1.3 LITROS COCO,1.3 LITROS,COCO,1
Baño,SHAMPOO CORPORATIVO 1.3 LITROS TRANQ.,1.3 LITROS,TRANQ.,1
Baño,CONDITIONER X1 LT 1000 ML ARMONÍA,1000 ML,ARMONÍA,1
Baño,CONDITIONER X1 LT 1000 ML COCO,1000 ML,COCO,1
Baño,CONDITIONER X1 LT 1000 ML TRANQ.,1000 ML,TRANQ.,1
Colonias,COLONIAS EDICION ESPECIAL 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,1
Colonias,COLONIAS EDICION ESPECIAL 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,1
Accesorios,ALMOHADILLA CINTURA ED. LIMITADA,,,1
Accesorios,ALMOHADILLA CUELLO ED.LIMITADA,,,1
Kits,KIT ORQUIDEA BLANCA,,,1
Baño,BLEND BABY FACE,,,1
Baño,BLEND POWER HAIR,,,1
Baño,BLEND SEXY LOOK,,,1
Baño,BAMBOO EDICION LIMITADA 200 ML TE VERDE,200 ML,TE VERDE,1
Baño,BAMBOO EDICION LIMITADA 200 ML VAINILLA,200 ML,VAINILLA,1
Baño,JABONCITO 33 GR,33 GR,,1
Baño,ESPONJA VEGETAL - 1/2  LOOFA,,,1
Baño,GEL ANTIBACTERIAL RULETA,,,1
Baño,BURBUJAS MINI RULETA,,,1
Baño,SHAMPOO MINI RULETA,,,1
Baño,CONDITIONER MINI RULETA,,,1
Sprays,MINI SPRAYS RULETA,,,1
Aceites,MINI ACEITE NUTRITIVO RULETA,,,1
Jabones,JABON DE REGALO FLOR,,,1
Kits,KIT ZEN RENOVADO AMOR,,AMOR,1
Kits,KIT ZEN RENOVADO ARMONÍA,,ARMONÍA,1
Kits,KIT ZEN RENOVADO ENERGÍA,,ENERGÍA,1
Kits,KIT ZEN RENOVADO FELICIDAD,,FELICIDAD,1
Kits,KIT ZEN RENOVADO SERENIDAD,,SERENIDAD,1
Kits,KIT ZEN RENOVADO TRANQ.,,TRANQ.,1
Accesorios,DIFUSOR CANDLE LAMP #1 2023,,,1
Accesorios,DIFUSOR VOLCANO #3 2023,,,1
Accesorios,DIFUSOR SALT STONE #4 2023,,,1
Accesorios,DIFUSOR FLAME #5 2023,,,1
Accesorios,DIFUSOR MADERA #6 2023,,,1
Baño,JABON HERBAL 33 GR RULETA 33 GR,33 GR,,1
Aceites,ACEITE TIARE+JOJOBA 120 ML TIARE+JOJOBA,120 ML,TIARE+JOJOBA,1
Kits,KIT CUARZOS,,,1
Accesorios,VELA MANDALA,,,2
Fragancias,FRAGANCIA ARIES 10 ML,10 ML,,2
Fragancias,FRAGANCIA TAURO 10 ML,10 ML,,2
Fragancias,FRAGANCIA GEMENIS 10 ML,10 ML,,2
Fragancias,FRAGANCIA CANCER 10 ML,10 ML,,2
Fragancias,FRAGANCIA LEO 10 ML,10 ML,,2
Fragancias,FRAGANCIA VIRGO 10 ML,10 ML,,2
Fragancias,FRAGANCIA LIBRA 10 ML,10 ML,,2
Fragancias,FRAGANCIA ESCORPIO 10 ML,10 ML,,2
Fragancias,FRAGANCIA SAGITARIO 10 ML,10 ML,,2
Fragancias,FRAGANCIA CAPRICORNIO 10 ML,10 ML,,2
Fragancias,FRAGANCIA ACUARIO 10 ML,10 ML,,2
Fragancias,FRAGANCIA PISCIS 10 ML,10 ML,,2
Accesorios,PORTA INCIENSO DRAGON LARGO,,,2
Accesorios,PORTA INCIENSO DRAGON CERAMICA GRANDE LOTTO,,,2
Accesorios,PORTA INCIENSO DRAGON CERAMICA GRANDE CASTILLO,,,2
Inciensos,INCIENSO CONO VEGETAL X 5 UNID,,,2
Aceites,ACEITE NUTRITIVO COCO 34 ML COCO,34 ML,COCO,2
Fragancias,FRAGANCIA ORQUIDEA BLANCA 500 ML ORQUIDEA BLANCA,500 ML,ORQUIDEA BLANCA,2
Accesorios,PACK SKIN CARE WEEKEND,,,2
Accesorios,DIFUSOR #1 LAMP 2024,,,2
Accesorios,DIFUSOR #2 110 ML 2024,,,2
Accesorios,DIFUSOR #3 BLANCO 200 ML 2024,,,2
Accesorios,DIFUSOR #4 MADERA 500 ML 2024,,,2
Accesorios,DIFUSOR #5 300 ML 2024,,,2
Accesorios,DIFUSOR #6 FLAME 250 ML 2024,,,2
Accesorios,ROLLER FACIAL JADE,,,2
Accesorios,ROLLER FACIAL ROSA,,,2
Accesorios,GUASHA FACIAL JADE,,,2
Accesorios,GUASHA FACIL ROSA,,,2
Accesorios,NECESSER,,,2
Kits,KIT CANASTITA,,,2
Baño,MINI BURBUJA DE BAÑO AMOR + PUMP 173 ML,173 ML,,2
Baño,MINI BURBUJA DE BAÑO TRANQ + PUMP 173 ML,173 ML,,2
Baño,MINI BURBUJA DE BAÑO ARMONÍA + PUMP 173 ML,173 ML,,2
Baño,MINI BURBUJA DE BAÑO SERENIDAD + PUMP 173 ML,173 ML,,2
Baño,MINI BURBUJA DE BAÑO FELICIDAD + PUMP 173 ML,173 ML,,2
Baño,MINI BURBUJA DE BAÑO ENERGÍA + PUMP 173 ML,173 ML,,2
Baño,BURBUJA DE BAÑO AMOR + PUMP 520 ML,520 ML,,2
Baño,BURBUJA DE BAÑO TRANQ + PUMP 520 ML,520 ML,,2
Baño,BURBUJA DE BAÑO ARMONÍA + PUMP 520 ML,520 ML,,2
Baño,BURBUJA DE BAÑO SERENIDAD + PUMP 520 ML,520 ML,,2
Baño,BURBUJA DE BAÑO ENERGÍA + PUMP 520 ML,520 ML,,2
Baño,BURBUJA DE BAÑO FELICIDAD + PUMP 520 ML,520 ML,,2
Aceites,ACEITE PARA BARBA 10 ML,10 ML,,2
Kits,KIT BUDA LIMPIADOR DE ENERGIAS,,,2
Exfoliantes,EXFOLIANTE 34 ML RULETA 34 ML,34 ML,,2
Cremas,CREMA 30 GR RULETA 30 GR,30 GR,,2
Baño,BURBUJAS DE BAÑO HOTELERA 34 ML ARMONÍA,34 ML,ARMONÍA,2
Accesorios,DIFUSOR AROMACARE 1.3 LT 2022,,,2
Sprays,SPRAY HIERBA LUISA GALON,GALON,,2
Sprays,SPRAY ENERGIA GALON,GALON,,2
Accesorios,VINCHA BLANCA,,,2
Accesorios,PACK X 2 INCIENSO CONO VEGETAL X 5 UNID,,,2